"","id_str","text","date"
"1","947824196909961216","Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!",2018-01-01
"2","947810806430826496","Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!",2018-01-01
"3","947802588174577664","The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp; deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",2018-01-01
"4","947614110082043904","HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!",2017-12-31
"5","947592785519173637","As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!",2017-12-31
"6","947588263103139841","Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!",2017-12-31
"7","947544600918372353","What a year its been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG",2017-12-31
"8","947536951464333318","My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We love our police and law enforcement - God Bless them all! #LESM",2017-12-31
"9","947461470924820480","Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts &amp; more?",2017-12-31
"10","947458942719979520","If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! https://t.co/9TzSC8F8vY",2017-12-31
"11","947453152806297600","Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squandered on terrorism. Looks like they will not take it any longer. The USA is watching very closely for human rights violations!",2017-12-31
"12","947328044821336070","Trump Rally: Stocks put 2017 in the record books https://t.co/0foQGaFjMh",2017-12-31
"13","947236393184628741","Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dramatically Cut, and it will only get better. MUCH MORE TO COME!",2017-12-30
"14","947235015343202304","I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair press, now often referred to as Fake News Media. Phony and non-existent sources are being used more often than ever. Many stories &amp; reports a pure fiction!",2017-12-30
"15","947213895286054914","On Taxes: This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 years ago.This is a huge pro-growth stimulus for the economy. Every year the Obama WH overstated how the economy would grow. Now real economics and jobs. @WSJ Report",2017-12-30
"16","947181212468203520","Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The world is watching! https://t.co/kvv1uAqcZ9",2017-12-30
"17","947180713236934657","The entire world understands that the good people of Iran want change, and, other than the vast military power of the United States, that Irans people are what their leaders fear the most.... https://t.co/W8rKN9B6RT",2017-12-30
"18","946949708915924994","Many reports of peaceful protests by Iranian citizens fed up with regimes corruption &amp; its squandering of the nations wealth to fund terrorism abroad. Iranian govt should respect their peoples rights, including right to express themselves. The world is watching! #IranProtests",2017-12-30
"19","946731576687235072","The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL at the Southern Border and an END to the horrible Chain Migration &amp; ridiculous Lottery System of Immigration etc. We must protect our Country at all cost!",2017-12-29
"20","946728546633953285","Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and others so little to deliver their packages, making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!",2017-12-29
"21","946725057384108033","RT @charliekirk11: Incredible video: @CBS does a special on the GOP tax plan 

The result?

Every middle class family they sat down with SA&",2017-12-29
"22","946724984218669056","RT @charliekirk11: ISIS getting slaughtered: 

Square miles liberated from ISIS
Trump: 26,000 --  Obama: 13,200

Total Square miles held by&",2017-12-29
"23","946724719956578304","RT @FoxBusiness: .@charliekirk11: ""What this president has done is truly historic, and if a Democrat president achieved 1/10th of what @POT&",2017-12-29
"24","946724543774765056","RT @charliekirk11: 3 big wins in 2017 you won't hear:

Trump confirmed the most circuit court judges ever in a President's 1st year (all co&",2017-12-29
"25","946724075157651457","While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating on Dec. 28, 2017, was approximately the same as President Obama on Dec. 28, 2009, which was 47%...and this despite massive negative Trump coverage &amp; Russia hoax!",2017-12-29
"26","946531657229701120","In the East, it could be the COLDEST New Years Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",2017-12-29
"27","946519720450252800","Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/OeyTdFyl1Q https://t.co/wdLQkfdy4m",2017-12-28
"28","946505517417095168","RT @realDonaldTrump: Arrests of MS-13 Members, Associates Up 83% Under Trump 
https://t.co/70iPHy2Yqn",2017-12-28
"29","946505439939911685","RT @DanScavino: Congratulations to the 2017 @PinstripeBowl (Yankee Stadium) Champions, Iowa @HawkeyeFootball! https://t.co/NlaWU6bKmH",2017-12-28
"30","946505312164630530","RT @EricTrump: #ThrowbackThursdays 
@realDonaldTrump <ú<ø<ú<ø<ú<ø https://t.co/Z44IObGZ7V",2017-12-28
"31","946505155809247232","RT @IvankaTrump: The Trump economy is booming. One thing @realDonaldTrump has done that has received little attention despite arguably d&",2017-12-28
"32","946460939578167296","I've been saying it for a long, long time. #NoKo https://t.co/LQl7tGhMdO",2017-12-28
"33","946416486054285314","Caught RED HANDED - very disappointed that China is allowing oil to go into North Korea. There will never be a friendly solution to the North Korea problem if this continues to happen!",2017-12-28
"34","946415026402988033","Retail sales are at record numbers. Weve got the economy going better than anyone ever dreamt - and you havent seen anything yet!",2017-12-28
"35","946401576381505536","Vanity Fair, which looks like it is on its last legs, is bending over backwards in apologizing for the minor hit they took at Crooked H. Anna Wintour, who was all set to be Amb to Court of St Jamess &amp; a big fundraiser for CH, is beside herself in grief &amp; begging for forgiveness!",2017-12-28
"36","946210723528572930","Arrests of MS-13 Members, Associates Up 83% Under Trump 
https://t.co/70iPHy2Yqn",2017-12-28
"37","946201376652169220","On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military est the remaining 1,000 or so fighters occupy roughly 1,900 square miles.. @jamiejmcintyre @dcexaminer https://t.co/OgYEuDgzD2",2017-12-28
"38","946156544927977477","Just left West Palm Beach Fire &amp; Rescue #2. Met with great men and women as representatives of those who do so much for all of us. Firefighters, paramedics, first responders - what amazing people they are!",2017-12-27
"39","946151080546750465","On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military estimates the remaining 1,000 or so fighters occupy roughly 1,900 square miles... via @jamiejmcintyre https://t.co/0lXKMUoPE9",2017-12-27
"40","945780569388015616","All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",2017-12-26
"41","945646491955290113","WOW, @foxandfrlends  Dossier is bogus. Clinton Campaign, DNC funded Dossier. FBI CANNOT (after all of this time) VERIFY CLAIMS IN DOSSIER OF RUSSIA/TRUMP COLLUSION. FBI TAINTED. And they used this Crooked Hillary pile of garbage as the basis for going after the Trump Campaign!",2017-12-26
"42","945624910898122752","Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut Bill, which essentially Repeals (over time) ObamaCare, the Democrats &amp; Republicans will eventually come together and develop a great new HealthCare plan!",2017-12-26
"43","945437479863291904","I hope everyone is having a great Christmas, then tomorrow its back to work in order to Make America Great Again (which is happening faster than anyone anticipated)!",2017-12-25
"44","945436206267060226","RT @EricTrump: We should all take a moment to say a prayer for those who paid the ultimate price   Their bravery and sacrifice allows us t&",2017-12-25
"45","945287222210781184","MERRY CHRISTMAS!!! https://t.co/mYtV5GNdLl",2017-12-25
"46","945140007572004870","MERRY CHRISTMAS!! https://t.co/xa2qxcisVV",2017-12-25
"47","945126026824298497","People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our cherished and beautiful phrase. MERRY CHRISTMAS!!!!!",2017-12-25
